Material,Plant,created On,Daily_Sales,Ph1
10000092,7052,2025-08-19 00:00:00,1,10004
10000092,9006,2025-07-27 00:00:00,1,10004
10000092,9006,2025-07-27 00:00:00,1,10004
10000092,9006,2025-07-28 00:00:00,1,10004
10000092,9006,2025-07-28 00:00:00,1,10004
10000092,9006,2025-08-02 00:00:00,1,10004
10000092,9006,2025-08-02 00:00:00,1,10004
10000092,9006,2025-08-05 00:00:00,1,10004
10000092,9006,2025-08-05 00:00:00,1,10004
10000092,9006,2025-08-10 00:00:00,-1,10004
10000092,9006,2025-08-10 00:00:00,-1,10004
10000092,9006,2025-08-31 00:00:00,2,10004
10000092,9006,2025-08-31 00:00:00,2,10004
10000092,9006,2025-09-01 00:00:00,1,10004
10000092,9006,2025-09-01 00:00:00,1,10004
10000092,9006,2025-09-07 00:00:00,1,10004
10000092,9006,2025-09-07 00:00:00,1,10004
10000092,9006,2025-09-11 00:00:00,1,10004
10000092,9006,2025-09-11 00:00:00,1,10004
10000092,9006,2025-09-13 00:00:00,1,10004
10000092,9006,2025-09-13 00:00:00,1,10004
10000293,7007,2025-07-02 00:00:00,1,10004
10000293,7015,2025-07-24 00:00:00,1,10004
10000293,7017,2025-06-22 00:00:00,1,10004
10000293,7017,2025-08-30 00:00:00,1,10004
10000293,7019,2025-07-09 00:00:00,1,10004
10000293,7049,2025-08-17 00:00:00,1,10004
10000293,7049,2025-08-20 00:00:00,2,10004
10000319,7001,2025-07-02 00:00:00,1,10004
10000319,7001,2025-07-11 00:00:00,1,10004
10000319,7001,2025-07-17 00:00:00,1,10004
10000319,7001,2025-07-19 00:00:00,1,10004
10000319,7001,2025-09-01 00:00:00,1,10004
10000319,7002,2025-06-22 00:00:00,1,10004
10000319,7002,2025-06-23 00:00:00,2,10004
10000319,7002,2025-06-25 00:00:00,3,10004
10000319,7002,2025-06-26 00:00:00,1,10004
10000319,7002,2025-06-27 00:00:00,1,10004
10000319,7002,2025-06-28 00:00:00,4,10004
10000319,7002,2025-06-29 00:00:00,1,10004
10000319,7002,2025-06-30 00:00:00,1,10004
10000319,7002,2025-07-10 00:00:00,1,10004
10000319,7002,2025-07-15 00:00:00,1,10004
10000319,7002,2025-08-19 00:00:00,3,10004
10000319,7002,2025-08-20 00:00:00,2,10004
10000319,7002,2025-08-21 00:00:00,1,10004
10000319,7002,2025-08-24 00:00:00,1,10004
10000319,7002,2025-09-08 00:00:00,2,10004
10000319,7002,2025-09-12 00:00:00,1,10004
10000319,7002,2025-09-16 00:00:00,1,10004
10000319,7003,2025-07-12 00:00:00,2,10004
10000319,7003,2025-07-14 00:00:00,1,10004
10000319,7003,2025-08-22 00:00:00,1,10004
10000319,7003,2025-08-23 00:00:00,1,10004
10000319,7003,2025-09-14 00:00:00,2,10004
10000319,7003,2025-09-15 00:00:00,1,10004
10000319,7003,2025-09-16 00:00:00,2,10004
10000319,7003,2025-09-19 00:00:00,1,10004
10000319,7003,2025-09-20 00:00:00,2,10004
10000319,7003,2025-09-22 00:00:00,2,10004
10000319,7004,2025-06-27 00:00:00,1,10004
10000319,7004,2025-07-03 00:00:00,1,10004
10000319,7004,2025-07-13 00:00:00,1,10004
10000319,7004,2025-07-17 00:00:00,1,10004
10000319,7004,2025-07-18 00:00:00,1,10004
10000319,7004,2025-07-19 00:00:00,1,10004
10000319,7004,2025-07-24 00:00:00,1,10004
10000319,7004,2025-08-02 00:00:00,1,10004
10000319,7004,2025-08-26 00:00:00,1,10004
10000319,7004,2025-08-27 00:00:00,1,10004
10000319,7004,2025-09-08 00:00:00,1,10004
10000319,7004,2025-09-09 00:00:00,1,10004
10000319,7004,2025-09-13 00:00:00,1,10004
10000319,7004,2025-09-16 00:00:00,2,10004
10000319,7004,2025-09-20 00:00:00,2,10004
10000319,7004,2025-09-22 00:00:00,1,10004
10000319,7005,2025-07-13 00:00:00,1,10004
10000319,7005,2025-07-14 00:00:00,1,10004
10000319,7005,2025-07-21 00:00:00,1,10004
10000319,7005,2025-08-25 00:00:00,1,10004
10000319,7005,2025-08-28 00:00:00,1,10004
10000319,7005,2025-09-05 00:00:00,2,10004
10000319,7005,2025-09-08 00:00:00,1,10004
10000319,7005,2025-09-16 00:00:00,1,10004
10000319,7005,2025-09-20 00:00:00,1,10004
10000319,7006,2025-06-22 00:00:00,1,10004
10000319,7006,2025-07-02 00:00:00,1,10004
